,close,contract,high,low,open,source,time,timestamp,volume
777,8205.07,okef/btc.usd.n,8240.0,8200.01,8200.16,,2019-06-13T23:15:00+08:00,1560438900,6537
778,8197.81,okef/btc.usd.n,8214.05,8191.34,8207.2,,2019-06-13T23:30:00+08:00,1560439800,2770
779,8197.06,okef/btc.usd.n,8213.03,8186.44,8200.47,,2019-06-13T23:45:00+08:00,1560440700,2603
780,8180.88,okef/btc.usd.n,8190.87,8168.1,8190.87,,2019-06-14T00:00:00+08:00,1560441600,3840
781,8198.76,okef/btc.usd.n,8208.16,8171.71,8180.26,,2019-06-14T00:15:00+08:00,1560442500,2523
782,8188.34,okef/btc.usd.n,8199.78,8183.28,8198.89,,2019-06-14T00:30:00+08:00,1560443400,3957
783,8174.13,okef/btc.usd.n,8189.3,8172.52,8183.64,,2019-06-14T00:45:00+08:00,1560444300,2037
784,8189.1,okef/btc.usd.n,8189.1,8172.71,8173.99,,2019-06-14T01:00:00+08:00,1560445200,2320
785,8193.84,okef/btc.usd.n,8193.84,8186.35,8189.19,,2019-06-14T01:15:00+08:00,1560446100,1821
786,8193.41,okef/btc.usd.n,8197.93,8187.71,8192.69,,2019-06-14T01:30:00+08:00,1560447000,1695
787,8195.63,okef/btc.usd.n,8195.67,8175.97,8190.59,,2019-06-14T01:45:00+08:00,1560447900,1731
788,8224.51,okef/btc.usd.n,8230.0,8189.55,8194.99,,2019-06-14T02:00:00+08:00,1560448800,6516
789,8219.5,okef/btc.usd.n,8260.47,8210.0,8225.89,,2019-06-14T02:15:00+08:00,1560449700,18370
790,8234.27,okef/btc.usd.n,8239.95,8211.99,8220.6,,2019-06-14T02:30:00+08:00,1560450600,4594
791,8275.3,okef/btc.usd.n,8311.12,8231.04,8231.04,,2019-06-14T02:45:00+08:00,1560451500,31950
792,8253.0,okef/btc.usd.n,8299.58,8247.84,8276.75,,2019-06-14T03:00:00+08:00,1560452400,24352
793,8261.52,okef/btc.usd.n,8281.94,8250.64,8255.33,,2019-06-14T03:15:00+08:00,1560453300,5037
794,8237.66,okef/btc.usd.n,8276.74,8227.42,8265.97,,2019-06-14T03:30:00+08:00,1560454200,3873
795,8244.13,okef/btc.usd.n,8250.8,8227.1,8232.82,,2019-06-14T03:45:00+08:00,1560455100,4618
796,8241.41,okef/btc.usd.n,8256.45,8230.0,8241.57,,2019-06-14T04:00:00+08:00,1560456000,2229
797,8256.48,okef/btc.usd.n,8264.03,8232.0,8239.53,,2019-06-14T04:15:00+08:00,1560456900,2882
798,8258.39,okef/btc.usd.n,8261.59,8250.26,8259.31,,2019-06-14T04:30:00+08:00,1560457800,2500
799,8255.3,okef/btc.usd.n,8280.68,8251.54,8258.79,,2019-06-14T04:45:00+08:00,1560458700,2714
800,8268.17,okef/btc.usd.n,8297.33,8261.17,8261.17,,2019-06-14T05:00:00+08:00,1560459600,2781
801,8304.45,okef/btc.usd.n,8324.28,8265.42,8265.43,,2019-06-14T05:15:00+08:00,1560460500,3799
802,8305.73,okef/btc.usd.n,8325.25,8287.1,8287.1,,2019-06-14T05:30:00+08:00,1560461400,3054
803,8312.21,okef/btc.usd.n,8340.0,8305.38,8305.51,,2019-06-14T05:45:00+08:00,1560462300,3912
804,8321.31,okef/btc.usd.n,8321.31,8276.86,8315.03,,2019-06-14T06:00:00+08:00,1560463200,2231
805,8293.41,okef/btc.usd.n,8326.03,8291.21,8321.38,,2019-06-14T06:15:00+08:00,1560464100,2957
806,8282.35,okef/btc.usd.n,8291.11,8266.26,8287.98,,2019-06-14T06:30:00+08:00,1560465000,3681
807,8255.51,okef/btc.usd.n,8282.17,8226.55,8282.17,,2019-06-14T06:45:00+08:00,1560465900,4800
808,8257.72,okef/btc.usd.n,8273.51,8256.54,8262.17,,2019-06-14T07:00:00+08:00,1560466800,1913
809,8245.51,okef/btc.usd.n,8259.01,8231.73,8258.27,,2019-06-14T07:15:00+08:00,1560467700,2614
810,8225.43,okef/btc.usd.n,8253.88,8209.36,8253.71,,2019-06-14T07:30:00+08:00,1560468600,3379
811,8237.13,okef/btc.usd.n,8238.91,8211.78,8222.46,,2019-06-14T07:45:00+08:00,1560469500,2189
812,8226.05,okef/btc.usd.n,8262.13,8225.23,8238.19,,2019-06-14T08:00:00+08:00,1560470400,2710
813,8226.87,okef/btc.usd.n,8233.05,8212.65,8228.96,,2019-06-14T08:15:00+08:00,1560471300,2395
814,8242.67,okef/btc.usd.n,8251.4,8229.82,8229.82,,2019-06-14T08:30:00+08:00,1560472200,2499
815,8222.32,okef/btc.usd.n,8244.51,8220.09,8241.02,,2019-06-14T08:45:00+08:00,1560473100,2037
816,8211.98,okef/btc.usd.n,8236.48,8208.89,8222.01,,2019-06-14T09:00:00+08:00,1560474000,2349
817,8203.3,okef/btc.usd.n,8226.39,8190.94,8211.31,,2019-06-14T09:15:00+08:00,1560474900,4197
818,8205.64,okef/btc.usd.n,8212.43,8181.38,8200.69,,2019-06-14T09:30:00+08:00,1560475800,3854
819,8187.01,okef/btc.usd.n,8210.0,8172.0,8205.37,,2019-06-14T09:45:00+08:00,1560476700,4837
820,8196.33,okef/btc.usd.n,8199.0,8180.0,8190.99,,2019-06-14T10:00:00+08:00,1560477600,4439
821,8198.25,okef/btc.usd.n,8209.08,8196.41,8198.75,,2019-06-14T10:15:00+08:00,1560478500,1973
822,8209.53,okef/btc.usd.n,8209.53,8190.37,8198.19,,2019-06-14T10:30:00+08:00,1560479400,1405
823,8200.4,okef/btc.usd.n,8212.01,8197.25,8211.2,,2019-06-14T10:45:00+08:00,1560480300,2697
824,8207.83,okef/btc.usd.n,8207.83,8185.94,8198.55,,2019-06-14T11:00:00+08:00,1560481200,2007
825,8209.95,okef/btc.usd.n,8214.05,8203.72,8206.74,,2019-06-14T11:15:00+08:00,1560482100,2361
826,8215.01,okef/btc.usd.n,8222.61,8208.5,8209.08,,2019-06-14T11:30:00+08:00,1560483000,3154
827,8211.38,okef/btc.usd.n,8215.24,8207.67,8215.0,,2019-06-14T11:45:00+08:00,1560483900,2527
828,8200.72,okef/btc.usd.n,8211.09,8194.82,8211.09,,2019-06-14T12:00:00+08:00,1560484800,3878
829,8209.12,okef/btc.usd.n,8213.73,8197.05,8200.49,,2019-06-14T12:15:00+08:00,1560485700,2996
830,8218.79,okef/btc.usd.n,8219.04,8209.31,8210.98,,2019-06-14T12:30:00+08:00,1560486600,1686
831,8240.0,okef/btc.usd.n,8242.01,8213.68,8219.04,,2019-06-14T12:45:00+08:00,1560487500,5507
832,8224.33,okef/btc.usd.n,8242.99,8223.63,8240.0,,2019-06-14T13:00:00+08:00,1560488400,4056
833,8249.37,okef/btc.usd.n,8251.06,8222.46,8222.99,,2019-06-14T13:15:00+08:00,1560489300,2494
834,8245.61,okef/btc.usd.n,8251.89,8234.85,8248.77,,2019-06-14T13:30:00+08:00,1560490200,2393
835,8227.88,okef/btc.usd.n,8251.03,8224.75,8242.68,,2019-06-14T13:45:00+08:00,1560491100,2268
836,8215.14,okef/btc.usd.n,8228.83,8210.99,8224.12,,2019-06-14T14:00:00+08:00,1560492000,2773
837,8206.2,okef/btc.usd.n,8224.68,8200.1,8216.09,,2019-06-14T14:15:00+08:00,1560492900,2779
838,8219.57,okef/btc.usd.n,8220.69,8198.52,8204.97,,2019-06-14T14:30:00+08:00,1560493800,3877
839,8229.83,okef/btc.usd.n,8233.29,8217.15,8219.6,,2019-06-14T14:45:00+08:00,1560494700,6718
840,8234.73,okef/btc.usd.n,8247.92,8226.38,8227.51,,2019-06-14T15:00:00+08:00,1560495600,7667
841,8245.16,okef/btc.usd.n,8251.2,8233.2,8234.34,,2019-06-14T15:15:00+08:00,1560496500,5712
842,8232.09,okef/btc.usd.n,8245.15,8229.86,8245.15,,2019-06-14T15:30:00+08:00,1560497400,2317
843,8248.73,okef/btc.usd.n,8250.0,8218.36,8222.02,,2019-06-14T15:45:00+08:00,1560498300,83373
844,8253.99,okef/btc.usd.n,8258.05,8235.88,8248.73,,2019-06-14T16:00:00+08:00,1560499200,57677
845,8294.7,okef/btc.usd.n,8299.99,8253.97,8253.99,,2019-06-14T16:15:00+08:00,1560500100,123936
846,8274.25,okef/btc.usd.n,8325.0,8265.11,8294.71,,2019-06-14T16:30:00+08:00,1560501000,113269
847,8290.88,okef/btc.usd.n,8312.01,8271.53,8274.25,,2019-06-14T16:45:00+08:00,1560501900,60948
848,8261.92,okef/btc.usd.n,8291.9,8260.0,8290.87,,2019-06-14T17:00:00+08:00,1560502800,45283
849,8272.09,okef/btc.usd.n,8277.45,8261.0,8263.6,,2019-06-14T17:15:00+08:00,1560503700,34217
850,8267.44,okef/btc.usd.n,8281.38,8254.38,8270.21,,2019-06-14T17:30:00+08:00,1560504600,33244
851,8301.66,okef/btc.usd.n,8314.97,8264.74,8267.38,,2019-06-14T17:45:00+08:00,1560505500,33067
852,8290.0,okef/btc.usd.n,8317.97,8286.5,8301.67,,2019-06-14T18:00:00+08:00,1560506400,71423
853,8291.31,okef/btc.usd.n,8300.85,8283.23,8286.14,,2019-06-14T18:15:00+08:00,1560507300,10111
